dev_id,dev_name
013792b4-dd0d-4301-92af-e9bc7113e8c9,Keycap Games LLC
01384a77-b381-4e56-959c-85392b213357,Bjarki Arge Andreasen
01388471-16cb-40fd-a936-a4f14d5f7e3d,Xlab Digital
0139d3fc-a31e-4dfc-b1ad-5bd4bc041005,Naughty Children at Play
013a02ed-6ed5-4a24-b01b-108838c6a004,A44 Games
013a06f7-bb15-4ab2-8c3c-6c57e004004c,Worm Animation
013c394a-dede-4258-b6b1-9161733805ce,vajit
013d1f18-a579-4b51-bdc2-822fc4682705,Paul Fisch
013d9c16-8b2b-4aba-8412-e74f4239cd75,Luana Sotelo
013e1487-7d41-4245-8a06-324419519998,NeuralSoft
01402c97-1cca-46ae-8f6f-edfa86223ae5,ByteBomb Studios
014094b7-9aef-4b11-bda1-def4c30fcdb9,Double Peach Productions
014403a7-d59f-48e1-a3c9-b09287183201,VinLia Games
0145031d-9a50-43e9-9d94-da3c6e63b65d,Anthony Gatturna
01454a53-b52b-4e54-b141-0e443a9de3a2,Malumica
0147d329-896c-486e-80a7-6ea4275769eb,"Marauder Interactive, LLC"
0148174d-3c4a-4812-baad-c3925579d05f,pheenix93
01488964-29f9-432a-bad1-71ab57278720,Yebbes Gamestudio
014918e8-6b60-439d-827c-b896dfa8a555,Little Army Studio
014935fc-1534-441a-bdb5-ec801cc91bb0,MODE24
014a1405-0c21-4a3f-8646-de51590c77b0,Critique Gaming
014a9afe-7069-4f85-a71c-0de459987e65,Frood Designs
014ef1ff-c52f-465f-99fe-3982b636f6fa,Gameplay Ltd.
014f74f7-e92c-4878-b7da-e9ed3cc0636e,Yfrit Games
01507828-d93d-4f82-b5a6-7348b49509f8,Machete Games LLC
0150fdcf-0e39-4c2e-a236-ea3310996882,Consulog
0151b09e-d082-402f-8327-8dd2994f6c53,Hurricane
0151e3ff-cb9b-4253-8b63-1967120c86a8,Arianna Nicolas
0152ce7e-9f42-4b3e-b0f9-78eed977179d,Zero Gravity
0152df98-2200-4f3d-bb57-f3b92db06e37,Tianyu Studio
0152e1fe-5935-4725-8db6-d32f4a706022,æ™¨æµ·æ˜Ÿæ¾œæ¸¸æˆ�å·¥ä½œå®¤/Morning Starland
01538773-9e88-459d-83b5-1ab2268a0bdd,Toxic Dog
01550c5e-2821-4771-acc3-57cc09097106,7U.Studio
01567b52-fb6a-41c8-b202-8f42e2f9aa00,Zabbo Games
0157efc2-0501-47ba-9950-57cc49d554a3,Paul MacGregor (Maple Leaf Games)
0159ab2b-a4e1-46e3-9941-e7ad65611699,æ”¸å¿ƒå·¥ä½œå®¤
015b322b-efe9-4671-840c-be23d9e9dade,Helmi Bastami
015cc003-83b2-4864-bfdc-47674dc7529f,Atreid Concept
015d8273-2233-4c30-8a60-5e150d4c6251,Jet Set Games
015dc718-1db5-4513-9d52-8d5b809501bf,Oohoo Studio
015e2d5e-fba0-4654-be63-27c9539fa209,è€�æ¢…
015f6b60-5dbe-4394-882f-1688d79b8522,Abyssmal Games
015f73c9-8ecc-4fa7-9ae9-442a45cf939b,FNGames
015f74aa-80fa-4563-81b2-c40d8082a047,Bounce Back Games
0160700d-07d7-49d0-a71c-1d19f276a2cb,Red Square Games
016165b9-3f7d-4f18-868d-dd2977f1d247,Nastya Sinclair
01625676-1ba0-46ca-9086-587809f10af8,Replayable Games
01644c0e-235c-4c22-a9f0-0fcf14efa00d,Cognitive Games
0164a255-44d3-4bf8-9a72-3bd5a68f0a17,AlluGarage
0164cc7d-c8dd-4cf2-bfa9-d75cf5582108,ã��ã�†ã�–ã�„ã��ã�µã�¨Sugar
0164f3e9-0a0d-44da-8294-888262c7c3d8,Chris Rickett
01670bd0-8c80-47a4-8816-ee1da9b87bba,Sergey Saratov
01686b2f-a420-49d3-8a29-e8079ba1be6b,James Korin
016ae4dc-ca0a-40ee-bdc8-86be2a2e95c5,Komar Games
016cf92e-3c7e-4189-b601-bd1d8e5dcc09,abstract garden
016cff22-a85e-41cc-b653-6ef78ab1423f,202-N Studios
016d1297-af6f-4364-9197-b328a8cc21f0,Quantum Lemon Interactive
016d7ca6-227c-435d-b611-2a9ada8d22a3,Lavapotion
0171cc43-4a47-4f23-bf59-6d889e130067,HardEdge Games
0172b176-c09d-4d43-bf61-6aaac6300c3c,punyrobot
0173d868-0b66-4ee7-ad79-a7a9d1f564d1,Steves Games
017a9769-3f66-4fce-bbf1-9a438b82c8bf,Jason Huang
017d7d79-1ed2-471c-89fc-969ce24adc1c,KingKura
017de4d9-df73-47a1-a034-ecd5a10898f4,Let's go to the Grindhouse
017f8dc5-0561-42aa-959b-acbc961d8e25,Z3roram Studios
0181d771-38a7-4d6b-81a2-f3534588bb56,Digicon
01859f5b-f283-46e4-b4e9-916182db2917,Mozg Labs
01863478-2cd3-4506-99d8-efb30645f646,Whamgames
01896505-9f85-473c-a407-de1384503cee,Sly Cat Games
0189d70d-0679-4af1-9605-3bc9bc3f1ee9,ZoÃ« Mode
018c385f-b049-4c35-bca3-e6ffee1fb7f4,Team Sax Appeal
018c7ac7-b168-438e-9fa6-3a21374d56c4,IGNOST
